token_context,word_context,seg_context,sent_cotext,label
"['dealwiththeseissuesweproposeamulticomponentarchitecturewhereindividualcomponentsspecializeinidentifyingoneparticulartypeofunknownword.', 'Forexample,themisspellingidentifierwillspecializeinidentifyingmisspellings,theabbreviationcomponentwillspecializeinidentifyingabbreviations,etc.', 'Eachcomponentwillreturnaconfidencemeasureofthereliabilityofitsprediction,c.f. #TAUTHOR_TAG.', 'Theresultsfromeachcomponentareevaluatedtodeterminethefinalcategoryoftheword']","['dealwiththeseissuesweproposeamulticomponentarchitecturewhereindividualcomponentsspecializeinidentifyingoneparticulartypeofunknownword.', 'Forexample,themisspellingidentifierwillspecializeinidentifyingmisspellings,theabbreviationcomponentwillspecializeinidentifyingabbreviations,etc.', 'Eachcomponentwillreturnaconfidencemeasureofthereliabilityofitsprediction,c.f. #TAUTHOR_TAG.', 'Theresultsfromeachcomponentareevaluatedtodeterminethefinalcategoryoftheword']","['dealwiththeseissuesweproposeamulticomponentarchitecturewhereindividualcomponentsspecializeinidentifyingoneparticulartypeofunknownword.', 'Forexample,themisspellingidentifierwillspecializeinidentifyingmisspellings,theabbreviationcomponentwillspecializeinidentifyingabbreviations,etc.', 'Eachcomponentwillreturnaconfidencemeasureofthereliabilityofitsprediction,c.f. #TAUTHOR_TAG.', 'Theresultsfromeachcomponentareevaluatedtodeterminethefinalcategoryoftheword']","['dealwiththeseissuesweproposeamulticomponentarchitecturewhereindividualcomponentsspecializeinidentifyingoneparticulartypeofunknownword.', 'Forexample,themisspellingidentifierwillspecializeinidentifyingmisspellings,theabbreviationcomponentwillspecializeinidentifyingabbreviations,etc.', 'Eachcomponentwillreturnaconfidencemeasureofthereliabilityofitsprediction,c.f. #TAUTHOR_TAG.', 'Theresultsfromeachcomponentareevaluatedtodeterminethefinalcategoryoftheword']",4
"['firstfeaturerepresentsthepartofspeechoftheword.', 'Weuseanin-housestatisticaltagger(basedon #TAUTHOR_TAG)totagthetextinwhichtheunknownwordoccurs.', 'ThetagsetusedisasimplifiedversionofthetagsusedinthemachinereadableversionoftheOxfordAdvancedLearnersDictionary(OALD).', 'Thetagsetcontainsjustonetagto']","['firstfeaturerepresentsthepartofspeechoftheword.', 'Weuseanin-housestatisticaltagger(basedon #TAUTHOR_TAG)totagthetextinwhichtheunknownwordoccurs.', 'ThetagsetusedisasimplifiedversionofthetagsusedinthemachinereadableversionoftheOxfordAdvancedLearnersDictionary(OALD).', 'Thetagsetcontainsjustonetagto']","['firstfeaturerepresentsthepartofspeechoftheword.', 'Weuseanin-housestatisticaltagger(basedon #TAUTHOR_TAG)totagthetextinwhichtheunknownwordoccurs.', 'ThetagsetusedisasimplifiedversionofthetagsusedinthemachinereadableversionoftheOxfordAdvancedLearnersDictionary(OALD).', 'Thetagsetcontainsjustonetagto']","['firstfeaturerepresentsthepartofspeechoftheword.', 'Weuseanin-housestatisticaltagger(basedon #TAUTHOR_TAG)totagthetextinwhichtheunknownwordoccurs.', 'ThetagsetusedisasimplifiedversionofthetagsusedinthemachinereadableversionoftheOxfordAdvancedLearnersDictionary(OALD).', 'Thetagsetcontainsjustonetagtoidentifynouns']",5
"['thatismoresimilaringoaltothatoutlinedinthispaperisVosse #TAUTHOR_TAG.', 'Vosseusesasimplealgorithmtoidentifythreeclassesofunknownwords:misspellings,neologisms,andnames.', 'Capitalizationishissolemeansofidentifyingnames.', '']","['thatismoresimilaringoaltothatoutlinedinthispaperisVosse #TAUTHOR_TAG.', 'Vosseusesasimplealgorithmtoidentifythreeclassesofunknownwords:misspellings,neologisms,andnames.', 'Capitalizationishissolemeansofidentifyingnames.', '']","['thatismoresimilaringoaltothatoutlinedinthispaperisVosse #TAUTHOR_TAG.', 'Vosseusesasimplealgorithmtoidentifythreeclassesofunknownwords:misspellings,neologisms,andnames.', 'Capitalizationishissolemeansofidentifyingnames.', '']","['thatismoresimilaringoaltothatoutlinedinthispaperisVosse #TAUTHOR_TAG.', 'Vosseusesasimplealgorithmtoidentifythreeclassesofunknownwords:misspellings,neologisms,andnames.', 'Capitalizationishissolemeansofidentifyingnames.', '']",1
"['pusfrequency: #TAUTHOR_TAGdifferentiatesbetweenmisspellingsandneologisms(newwords)intermsoftheirfrequency.', 'Hisalgorithmclassifiesunknownwordsthatappearinfrequentlyasmisspellings,andthosethatappearmorefrequentlyasneologisms.', 'Ourcorpusfrequencyvariablespecifiesthefrequencyofeachunknownwordina2.6millionwordcorpusofbusinessnewsclosedcaptions']","['pusfrequency: #TAUTHOR_TAGdifferentiatesbetweenmisspellingsandneologisms(newwords)intermsoftheirfrequency.', 'Hisalgorithmclassifiesunknownwordsthatappearinfrequentlyasmisspellings,andthosethatappearmorefrequentlyasneologisms.', 'Ourcorpusfrequencyvariablespecifiesthefrequencyofeachunknownwordina2.6millionwordcorpusofbusinessnewsclosedcaptions']","['pusfrequency: #TAUTHOR_TAGdifferentiatesbetweenmisspellingsandneologisms(newwords)intermsoftheirfrequency.', 'Hisalgorithmclassifiesunknownwordsthatappearinfrequentlyasmisspellings,andthosethatappearmorefrequentlyasneologisms.', 'Ourcorpusfrequencyvariablespecifiesthefrequencyofeachunknownwordina2.6millionwordcorpusofbusinessnewsclosedcaptions']","['pusfrequency: #TAUTHOR_TAGdifferentiatesbetweenmisspellingsandneologisms(newwords)intermsoftheirfrequency.', 'Hisalgorithmclassifiesunknownwordsthatappearinfrequentlyasmisspellings,andthosethatappearmorefrequentlyasneologisms.', 'Ourcorpusfrequencyvariablespecifiesthefrequencyofeachunknownwordina2.6millionwordcorpusofbusinessnewsclosedcaptions']",5
"['', 'Ourworkbuildsonearlierresearchonlearningtoidentifydialoguesinwhichtheuserexperiencedpoorspeechrecognizerperformance #TAUTHOR_TAG.', '']","['', 'Ourworkbuildsonearlierresearchonlearningtoidentifydialoguesinwhichtheuserexperiencedpoorspeechrecognizerperformance #TAUTHOR_TAG.', '']","['', 'Ourworkbuildsonearlierresearchonlearningtoidentifydialoguesinwhichtheuserexperiencedpoorspeechrecognizerperformance #TAUTHOR_TAG.', '']","['', 'Ourworkbuildsonearlierresearchonlearningtoidentifydialoguesinwhichtheuserexperiencedpoorspeechrecognizerperformance #TAUTHOR_TAG.', 'However,thatworkwasbasedonamuchsmallersetofexperimentaldialogueswherethenotionofagoodorbaddialoguewasautomaticallyapproximatedratherthanbeinglabelledbyhumans.', '']",2
"['', 'Theuseofrunningtalliesandpercentagesisbasedontheassumptionthatthesefeaturesarelikelytoproducegeneralizedpredictors #TAUTHOR_TAG']","['', 'Theuseofrunningtalliesandpercentagesisbasedontheassumptionthatthesefeaturesarelikelytoproducegeneralizedpredictors #TAUTHOR_TAG']","['', 'Theuseofrunningtalliesandpercentagesisbasedontheassumptionthatthesefeaturesarelikelytoproducegeneralizedpredictors #TAUTHOR_TAG']","['DMfeaturesalsoincluderunningtalliesforthenumberofreprompts(num-reprompts),numberofconfirmationprompts(num.confirms),andnumberofsubdialogueprompts(num-subdials),thathadbeenplayeduptoeachpointinthediMogue,aswellasrunningpercentages(percent-reprompts,percentconfirms,percent-subdials).', 'Theuseofrunningtalliesandpercentagesisbasedontheassumptionthatthesefeaturesarelikelytoproducegeneralizedpredictors #TAUTHOR_TAG']",4
"['', 'Weusethesamesetofbinaryfeaturesasinpreviousworkonthisdataset #TAUTHOR_TAG.', '']","['', 'Weusethesamesetofbinaryfeaturesasinpreviousworkonthisdataset #TAUTHOR_TAG.', '']","['', 'Weusethesamesetofbinaryfeaturesasinpreviousworkonthisdataset #TAUTHOR_TAG.', '']","['', 'Weusethesamesetofbinaryfeaturesasinpreviousworkonthisdataset #TAUTHOR_TAG.', '']",5
"['.', ""Infutureworkweplantoexperimentwithricherrepresentations,e.g.includinglong-rangen-grams #AUTHOR_TAG,classn-grams #TAUTHOR_TAG,grammaticalfeatures #AUTHOR_TAG,etc'""]","['', ""Infutureworkweplantoexperimentwithricherrepresentations,e.g.includinglong-rangen-grams #AUTHOR_TAG,classn-grams #TAUTHOR_TAG,grammaticalfeatures #AUTHOR_TAG,etc'""]","['.', ""Infutureworkweplantoexperimentwithricherrepresentations,e.g.includinglong-rangen-grams #AUTHOR_TAG,classn-grams #TAUTHOR_TAG,grammaticalfeatures #AUTHOR_TAG,etc'""]","['', ""Infutureworkweplantoexperimentwithricherrepresentations,e.g.includinglong-rangen-grams #AUTHOR_TAG,classn-grams #TAUTHOR_TAG,grammaticalfeatures #AUTHOR_TAG,etc'""]",3
"['', 'Unfortunately,asshownin #TAUTHOR_TAG,withtherepresetationofsentencesthatweuse,linearclassifierscannotdiscriminaterealsentencesfromsentencessampledfromatrigram,whichisthemodelweuseasabaseline,sohereweresorttoanon-linearlarge-marginclassifier(seesection3fordetails).', '']","['', 'Unfortunately,asshownin #TAUTHOR_TAG,withtherepresetationofsentencesthatweuse,linearclassifierscannotdiscriminaterealsentencesfromsentencessampledfromatrigram,whichisthemodelweuseasabaseline,sohereweresorttoanon-linearlarge-marginclassifier(seesection3fordetails).', '']","['', 'Unfortunately,asshownin #TAUTHOR_TAG,withtherepresetationofsentencesthatweuse,linearclassifierscannotdiscriminaterealsentencesfromsentencessampledfromatrigram,whichisthemodelweuseasabaseline,sohereweresorttoanon-linearlarge-marginclassifier(seesection3fordetails).', '']","['', 'Unfortunately,asshownin #TAUTHOR_TAG,withtherepresetationofsentencesthatweuse,linearclassifierscannotdiscriminaterealsentencesfromsentencessampledfromatrigram,whichisthemodelweuseasabaseline,sohereweresorttoanon-linearlarge-marginclassifier(seesection3fordetails).', 'Whilelarge-marginclassifiersconsistentlyout-performotherlearningalgorithmsinmanyNLPtasks,theirnon-linearvariationsarealsonotoriouslyslowwhenitcomestocomputingtheirdecisionfunction-takingtimethatcanbelinearinthesizeoftheirtrainingdata.', '']",4
"['', 'Thiscodewasextensivelyoptimizedtotakeadvantageoftheverysparsesentencerepresentationdescribedabove.', 'Asshownin #TAUTHOR_TAG,usingthisrepresentation,alinearclassifiercannotdistinguishsentencessampledfromatrigramandrealsentences.', '']","['', 'Thiscodewasextensivelyoptimizedtotakeadvantageoftheverysparsesentencerepresentationdescribedabove.', 'Asshownin #TAUTHOR_TAG,usingthisrepresentation,alinearclassifiercannotdistinguishsentencessampledfromatrigramandrealsentences.', '']","['', 'Thiscodewasextensivelyoptimizedtotakeadvantageoftheverysparsesentencerepresentationdescribedabove.', 'Asshownin #TAUTHOR_TAG,usingthisrepresentation,alinearclassifiercannotdistinguishsentencessampledfromatrigramandrealsentences.', '']","['', 'Thiscodewasextensivelyoptimizedtotakeadvantageoftheverysparsesentencerepresentationdescribedabove.', 'Asshownin #TAUTHOR_TAG,usingthisrepresentation,alinearclassifiercannotdistinguishsentencessampledfromatrigramandrealsentences.', '']",4
"['languagemodel:ForP0weusedatrigramwithmodifiedkneser-neysmoothing[Chenand #TAUTHOR_TAG],whichisstillconsideredoneofthebestsmoothingmethodsforn-gramlanguagemodels.', '']","['languagemodel:ForP0weusedatrigramwithmodifiedkneser-neysmoothing[Chenand #TAUTHOR_TAG],whichisstillconsideredoneofthebestsmoothingmethodsforn-gramlanguagemodels.', '']","['languagemodel:ForP0weusedatrigramwithmodifiedkneser-neysmoothing[Chenand #TAUTHOR_TAG],whichisstillconsideredoneofthebestsmoothingmethodsforn-gramlanguagemodels.', '']","['languagemodel:ForP0weusedatrigramwithmodifiedkneser-neysmoothing[Chenand #TAUTHOR_TAG],whichisstillconsideredoneofthebestsmoothingmethodsforn-gramlanguagemodels.', '']",5
"['featurescanbeeasilyobtainedbymodifyingtheTATextractionalgorithmdescribedin #TAUTHOR_TAG.', '']","['featurescanbeeasilyobtainedbymodifyingtheTATextractionalgorithmdescribedin #TAUTHOR_TAG.', '']","['featurescanbeeasilyobtainedbymodifyingtheTATextractionalgorithmdescribedin #TAUTHOR_TAG.', '']","['featurescanbeeasilyobtainedbymodifyingtheTATextractionalgorithmdescribedin #TAUTHOR_TAG.', '']",2
"['Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #TAUTHOR_TAGandhistory-basedparsing(NivreandMc #AUTHOR_TAG.', '']","['Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #TAUTHOR_TAGandhistory-basedparsing(NivreandMc #AUTHOR_TAG.', '']","['Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #TAUTHOR_TAGandhistory-basedparsing(NivreandMc #AUTHOR_TAG.', '']","['', 'Forprojectiveparsing,itissignificantlyfasterthanexactdynamicprogramming,atthecostofsmallamountsofsearcherror,Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #TAUTHOR_TAGandhistory-basedparsing(NivreandMc #AUTHOR_TAG.', '']",3
"['Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #TAUTHOR_TAGandhistory-basedparsing(NivreandMc #AUTHOR_TAG.', '']","['Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #TAUTHOR_TAGandhistory-basedparsing(NivreandMc #AUTHOR_TAG.', '']","['Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #TAUTHOR_TAGandhistory-basedparsing(NivreandMc #AUTHOR_TAG.', '']","['', 'Forprojectiveparsing,itissignificantlyfasterthanexactdynamicprogramming,atthecostofsmallamountsofsearcherror,Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #TAUTHOR_TAGandhistory-basedparsing(NivreandMc #AUTHOR_TAG.', '']",3
"['Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #AUTHOR_TAGandhistory-basedparsing #TAUTHOR_TAG.', '']","['Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #AUTHOR_TAGandhistory-basedparsing #TAUTHOR_TAG.', '']","['Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #AUTHOR_TAGandhistory-basedparsing #TAUTHOR_TAG.', '']","['', 'Forprojectiveparsing,itissignificantlyfasterthanexactdynamicprogramming,atthecostofsmallamountsofsearcherror,Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #AUTHOR_TAGandhistory-basedparsing #TAUTHOR_TAG.', '']",3
"['', 'Wecouldalsointroducenewvariables,e.g.,nonterminalrefinements #TAUTHOR_TAG,or']","['', 'Wecouldalsointroducenewvariables,e.g.,nonterminalrefinements #TAUTHOR_TAG,or']","['', 'Wecouldalsointroducenewvariables,e.g.,nonterminalrefinements #TAUTHOR_TAG,or']","['', 'Wecouldalsointroducenewvariables,e.g.,nonterminalrefinements #TAUTHOR_TAG,orsecondarylinksMid(notconstrainedbyTREE/PTREE)thataugmenttheparsewithrepresentationsofcontrol,binding,etc. #AUTHOR_TAGBuch- #AUTHOR_TAG']",3
"['', 'Experiments(Section5)showthatforestbasedextractionimprovesBLEUscorebyover1pointonastate-of-the-arttree-to-stringsystem #TAUTHOR_TAG,whichisalso0.5pointsbetterthan(andtwiceasfastas)extractingon30-bestparses.', '']","['', 'Experiments(Section5)showthatforestbasedextractionimprovesBLEUscorebyover1pointonastate-of-the-arttree-to-stringsystem #TAUTHOR_TAG,whichisalso0.5pointsbetterthan(andtwiceasfastas)extractingon30-bestparses.', '']","['', 'Experiments(Section5)showthatforestbasedextractionimprovesBLEUscorebyover1pointonastate-of-the-arttree-to-stringsystem #TAUTHOR_TAG,whichisalso0.5pointsbetterthan(andtwiceasfastas)extractingon30-bestparses.', '']","['', 'Experiments(Section5)showthatforestbasedextractionimprovesBLEUscorebyover1pointonastate-of-the-arttree-to-stringsystem #TAUTHOR_TAG,whichisalso0.5pointsbetterthan(andtwiceasfastas)extractingon30-bestparses.', '']",2
"['forestconceptisalsousedinmachinetranslationdecoding,forexampletocharacterizethesearchspaceofdecodingwithintegratedlanguagemodels #AUTHOR_TAG.', 'Thefirstdirectapplicationofparseforestintranslationisourpreviouswork #TAUTHOR_TAGwhichtranslatesapackedforestfromaparser;itisalsothebasesysteminourexperiments(seebelow).', '']","['forestconceptisalsousedinmachinetranslationdecoding,forexampletocharacterizethesearchspaceofdecodingwithintegratedlanguagemodels #AUTHOR_TAG.', 'Thefirstdirectapplicationofparseforestintranslationisourpreviouswork #TAUTHOR_TAGwhichtranslatesapackedforestfromaparser;itisalsothebasesysteminourexperiments(seebelow).', '']","['forestconceptisalsousedinmachinetranslationdecoding,forexampletocharacterizethesearchspaceofdecodingwithintegratedlanguagemodels #AUTHOR_TAG.', 'Thefirstdirectapplicationofparseforestintranslationisourpreviouswork #TAUTHOR_TAGwhichtranslatesapackedforestfromaparser;itisalsothebasesysteminourexperiments(seebelow).', '']","['forestconceptisalsousedinmachinetranslationdecoding,forexampletocharacterizethesearchspaceofdecodingwithintegratedlanguagemodels #AUTHOR_TAG.', 'Thefirstdirectapplicationofparseforestintranslationisourpreviouswork #TAUTHOR_TAGwhichtranslatesapackedforestfromaparser;itisalsothebasesysteminourexperiments(seebelow).', '']",2
"['argumentscanprovideusefulsemanticinformation,theSRLiscrucialtomanynaturallanguageprocessingtasks,suchasQuestionandAnswering(NarayananandHarabagiu2004),InformationExtraction #TAUTHOR_TAG,andMachineTranslation(Boas2002).', '']","['argumentscanprovideusefulsemanticinformation,theSRLiscrucialtomanynaturallanguageprocessingtasks,suchasQuestionandAnswering(NarayananandHarabagiu2004),InformationExtraction #TAUTHOR_TAG,andMachineTranslation(Boas2002).', '']","['theargumentscanprovideusefulsemanticinformation,theSRLiscrucialtomanynaturallanguageprocessingtasks,suchasQuestionandAnswering(NarayananandHarabagiu2004),InformationExtraction #TAUTHOR_TAG,andMachineTranslation(Boas2002).', '']","['', 'Sincetheargumentscanprovideusefulsemanticinformation,theSRLiscrucialtomanynaturallanguageprocessingtasks,suchasQuestionandAnswering(NarayananandHarabagiu2004),InformationExtraction #TAUTHOR_TAG,andMachineTranslation(Boas2002).', '']",0
