,citing_int_id,cited_int_id,intent_labels,section_name,citance,context,citing_ss_id,citing_title,citing_year,citing_authors,cited_ss_id,cited_title,cited_year,cited_authors
14,Q13-1020,P09-1088,[1],method,"Inspired by <TARGET_CITATION/> , we define P ( str  frag ) as follows : where csw is the number of words in the source string .","c. Determine that the right child of PRP...RB is a twoword nonterminal; d. Utilize the predetermined RB and a POS tag VBP to form the tag of the twoword nonterminal: VBP+RB; e. Expand VBP+RB (to VBP and RB); f. Do not expand VBP and RB.generating the source string, which contains several source words and variables. Inspired by <TARGET_CITATION/> , we define P ( str  frag ) as follows : where csw is the number of words in the source string . Inspired by <CITATION/>, we define P(str  frag) as follows: where csw is the number of words in the source string. generating the source string, which contains several source words and variables. c. Determine that the right child of PRP...RB is a twoword nonterminal; d. Utilize the predetermined RB and a POS tag VBP to form the tag of the twoword nonterminal: VBP+RB; e. Expand VBP+RB (to VBP and RB); f. Do not expand VBP and RB.",aaf0174070ddb003bdb4a6452ef9ffd4a05467b8,Unsupervised Tree Induction for Tree-based Translation,2013,Feifei Zhai; Jiajun Zhang; Yu Zhou; Chengqing Zong,46e06cf27255dedcd40a99751dbc14d7fd44f80e,A Gibbs Sampler for Phrasal Synchronous Grammar Induction,2009,Phil Blunsom; Trevor Cohn; Chris Dyer; M. Osborne
15,W03-0806,External_74898,[0],experiments,"The TNT POS tagger <TARGET_CITATION/> has also been designed to train and run very quickly , tagging between 30,000 and 60,000 words per second .","An example of this is the estimation of maximum entropy models, from simple iterative estimation algorithms used by <CITATION/> that converge very slowly, to complex techniques from the optimisation literature that converge much more rapidly <CITATION/>. Other attempts to address efficiency include the fast Transformation Based Learning (TBL) Toolkit <CITATION/> which dramatically speeds up training TBL systems, and the translation of TBL rules into finite state machines for very fast tagging <CITATION/>. The TNT POS tagger <TARGET_CITATION/> has also been designed to train and run very quickly , tagging between 30,000 and 60,000 words per second . The TNT POS tagger <CITATION/> has also been designed to train and run very quickly, tagging between 30,000 and 60,000 words per second. Other attempts to address efficiency include the fast Transformation Based Learning (TBL) Toolkit <CITATION/> which dramatically speeds up training TBL systems, and the translation of TBL rules into finite state machines for very fast tagging <CITATION/>. An example of this is the estimation of maximum entropy models, from simple iterative estimation algorithms used by <CITATION/> that converge very slowly, to complex techniques from the optimisation literature that converge much more rapidly <CITATION/>.",7f9945be2f027d721e0bb5e5ae708a9dfc16dc46,Blueprint for a High Performance NLP Infrastructure,2003,J. Curran,,tnt  a statistical partofspeech tagger,2000,Thorsten Brants
16,P11-1134,External_13191,[0],introduction,"Some previous works <TARGET_CITATION/> indicate , as main limitations of the mentioned resources , their limited coverage , their low precision , and the fact that they are mostly suitable to capture relations mainly between single words .","Despite the consensus on the usefulness of lexical knowledge for textual inference, determining the actual impact of these resources is not straightforward, as they always represent one component in complex architectures that may use them in different ways. As emerges from the ablation tests reported in <CITATION/>, even the most common resources proved to have a positive impact on some systems and a negative impact on others. Some previous works <TARGET_CITATION/> indicate , as main limitations of the mentioned resources , their limited coverage , their low precision , and the fact that they are mostly suitable to capture relations mainly between single words . Some previous works <CITATION/> indicate, as main limitations of the mentioned resources, their limited coverage, their low precision, and the fact that they are mostly suitable to capture relations mainly between single words. As emerges from the ablation tests reported in <CITATION/>, even the most common resources proved to have a positive impact on some systems and a negative impact on others. Despite the consensus on the usefulness of lexical knowledge for textual inference, determining the actual impact of these resources is not straightforward, as they always represent one component in complex architectures that may use them in different ways.",0d9a1c73077952d65c9c27550853f07a8fa164fd,Using Bilingual Parallel Corpora for Cross-Lingual Textual Entailment,2011,Yashar Mehdad; Matteo Negri; Marcello Federico,5dbf9d4c177a1cd207ccf205c7e223b90d0d867b,Extracting paraphrase patterns from bilingual parallel corpora,2009,Shiqi Zhao; Haifeng Wang; Ting Liu; Sheng Li
18,D13-1115,External_14809,[2],method,"To solve these scaling issues , we implement Online Variational Bayesian Inference <TARGET_CITATION/> for our models .","Analytical inference of the posterior distribution of mLDA is intractable, and must be approximated. Prior work using mLDA has used Gibbs Sampling to approximate the posterior, but we found this method did not scale with larger values of K, especially when applied to the relatively large deWaC corpus. To solve these scaling issues , we implement Online Variational Bayesian Inference <TARGET_CITATION/> for our models . To solve these scaling issues, we implement Online Variational Bayesian Inference <CITATION/> for our models. Prior work using mLDA has used Gibbs Sampling to approximate the posterior, but we found this method did not scale with larger values of K, especially when applied to the relatively large deWaC corpus. Analytical inference of the posterior distribution of mLDA is intractable, and must be approximated.",75c3ba0c7e5b0d4a11e9d2e073ccd02ee688c0c9,"A Multimodal LDA Model integrating Textual, Cognitive and Visual Modalities",2013,Stephen Roller; Sabine Schulte im Walde,2d8cbd7370b4ce666edd864e66f83ebf20963516,Online Learning for Latent Dirichlet Allocation,2010,M. Hoffman; D. Blei; F. Bach
19,W00-1312,External_24243,[4],related work,Other studies which view lR as a query generation process include <TARGET_CITATION/> .," Other studies which view lR as a query generation process include <TARGET_CITATION/> . Other studies which view lR as a query generation process include <CITATION/>; Miller et al, 1999.",e68a7773495e3407d8e040fff8c67d614df08265,Cross-lingual Information Retrieval Using Hidden Markov Models,2000,Jinxi Xu; R. Weischedel,,on relevance probabilistic indexing and information retrievalquot,1960,M E Maron; K L Kuhns
20,P07-1068,N06-1025,[0],introduction,"As a result , researchers have readopted the oncepopular knowledgerich approach , investigating a variety of semantic knowledge sources for common noun resolution , such as the semantic relations between two NPs ( e.g. , <CITATION/> ) , their semantic similarity as computed using WordNet ( e.g. , <CITATION/> ) or Wikipedia <TARGET_CITATION/> , and the contextual role played by an NP ( see <CITATION/> ) .","While these approaches have been reasonably successful (see <CITATION/>), <CITATION/> speculate that deeper linguistic knowledge needs to be made available to resolvers in order to reach the next level of performance. In fact, semantics plays a crucially important role in the resolution of common NPs, allowing us to identify the coreference relation between two lexically dissimilar common nouns (e.g., talks and negotiations) and to eliminate George W. Bush from the list of candidate antecedents of the city, for instance. As a result , researchers have readopted the oncepopular knowledgerich approach , investigating a variety of semantic knowledge sources for common noun resolution , such as the semantic relations between two NPs ( e.g. , <CITATION/> ) , their semantic similarity as computed using WordNet ( e.g. , <CITATION/> ) or Wikipedia <TARGET_CITATION/> , and the contextual role played by an NP ( see <CITATION/> ) . As a result, researchers have readopted the oncepopular knowledgerich approach, investigating a variety of semantic knowledge sources for common noun resolution, such as the semantic relations between two NPs (e.g., <CITATION/>), their semantic similarity as computed using WordNet (e.g., <CITATION/>) or Wikipedia <CITATION/>, and the contextual role played by an NP (see <CITATION/>). In fact, semantics plays a crucially important role in the resolution of common NPs, allowing us to identify the coreference relation between two lexically dissimilar common nouns (e.g., talks and negotiations) and to eliminate George W. Bush from the list of candidate antecedents of the city, for instance. While these approaches have been reasonably successful (see <CITATION/>), <CITATION/> speculate that deeper linguistic knowledge needs to be made available to resolvers in order to reach the next level of performance.",476c783b7a837392d631a74ebb4b94a5207e5bae,Semantic Class Induction and Coreference Resolution,2007,Vincent Ng,6d375f8b45d8e5e961875bf74a89f32394759b89,"Exploiting Semantic Role Labeling, WordNet and Wikipedia for Coreference Resolution",2006,Simone Paolo Ponzetto; M. Strube
21,W01-1510,External_325,[0],introduction,"There have been many studies on parsing techniques <TARGET_CITATION/> , ones on disambiguation models <CITATION/> , and ones on programming/grammardevelopment environ ","Our concern is, however, not limited to the sharing of grammars and lexicons. Strongly equivalent grammars enable the sharing of ideas developed in each formalism. There have been many studies on parsing techniques <TARGET_CITATION/> , ones on disambiguation models <CITATION/> , and ones on programming/grammardevelopment environ There have been many studies on parsing techniques <CITATION/>, ones on disambiguation models <CITATION/>, and ones on programming/grammardevelopment environStrongly equivalent grammars enable the sharing of ideas developed in each formalism. Our concern is, however, not limited to the sharing of grammars and lexicons.",9acc772280c3edeaf9057efaa689f33f211ed78e,Resource Sharing Amongst HPSG and LTAG Communities by a Method of Grammar Conversion between FB-LTAG and HPSG,2001,Naoki Yoshinaga; Yusuke Miyao; Kentaro Torisawa; Junichi Tsujii,,twostep tag parsing revisited,1998,Peter Poller; Tilman Becker
22,W03-0806,W02-2018,[0],experiments,"An example of this is the estimation of maximum entropy models , from simple iterative estimation algorithms used by <CITATION/> that converge very slowly , to complex techniques from the optimisation literature that converge much more rapidly <TARGET_CITATION/> .","Efficiency has not been a focus for NLP research in general. However, it will be increasingly important as techniques become more complex and corpus sizes grow. An example of this is the estimation of maximum entropy models , from simple iterative estimation algorithms used by <CITATION/> that converge very slowly , to complex techniques from the optimisation literature that converge much more rapidly <TARGET_CITATION/> . An example of this is the estimation of maximum entropy models, from simple iterative estimation algorithms used by <CITATION/> that converge very slowly, to complex techniques from the optimisation literature that converge much more rapidly <CITATION/>. However, it will be increasingly important as techniques become more complex and corpus sizes grow. Efficiency has not been a focus for NLP research in general.",7f9945be2f027d721e0bb5e5ae708a9dfc16dc46,Blueprint for a High Performance NLP Infrastructure,2003,J. Curran,878783964ab23c97052ea82685368099d85c500d,A Comparison of Algorithms for Maximum Entropy Parameter Estimation,2002,Robert Malouf
23,W02-1601,External_76424,[0],,"For example , such schema can serve as a mean to represent translation examples , or find structural correspondences for the purpose of transfer grammar learning <CITATION/> , ( kaji et al. , 1992 ) , and examplebase machine translation EBMT3 <TARGET_CITATION/> .","Similar limitations also appear in synchronous CFGs <CITATION/>.Due to these limitations, instead of investigating into the synchronization of two grammars, we propose a flexible annotation schema (i.e. Synchronous Structured StringTree Correspondence (SSSTC)) to realize additional power and flexibility in expressing structural correspondences at the level of language sentence pairs. For example , such schema can serve as a mean to represent translation examples , or find structural correspondences for the purpose of transfer grammar learning <CITATION/> , ( kaji et al. , 1992 ) , and examplebase machine translation EBMT3 <TARGET_CITATION/> . For example, such schema can serve as a mean to represent translation examples, or find structural correspondences for the purpose of transfer grammar learning <CITATION/>, (kaji et al., 1992), and examplebase machine translation EBMT3 <CITATION/>.Due to these limitations, instead of investigating into the synchronization of two grammars, we propose a flexible annotation schema (i.e. Synchronous Structured StringTree Correspondence (SSSTC)) to realize additional power and flexibility in expressing structural correspondences at the level of language sentence pairs. Similar limitations also appear in synchronous CFGs <CITATION/>.",582fb43dc66caf69578d572478a08c92b2c50a58,A Synchronization Structure of SSTC and Its Applications in Machine Translation,2002,M. H. Al-Adhaileh; E. Tang; Zaharin Yusoff,,examplebased machine translation,1991,S Sato
24,N10-1084,External_36166,[0],related work,"Later works , such as <TARGET_CITATION/> ) , <CITATION/> , further made use of partofspeech taggers and electronic dictionaries , such as WordNet and VerbNet , to increase the robustness of the method .","The simplest and most straightforward subliminal modification of text is to substitute selected words with their synonyms. The first lexical substitution method was proposed by <CITATION/>. Later works , such as <TARGET_CITATION/> ) , <CITATION/> , further made use of partofspeech taggers and electronic dictionaries , such as WordNet and VerbNet , to increase the robustness of the method . Later works, such as <CITATION/>, further made use of partofspeech taggers and electronic dictionaries, such as WordNet and VerbNet, to increase the robustness of the method. The first lexical substitution method was proposed by <CITATION/>. The simplest and most straightforward subliminal modification of text is to substitute selected words with their synonyms.",b751fbbcdb05973856b18362baf8da581a4edfc3,Linguistic Steganography Using Automatically Generated Paraphrases,2010,Ching-Yun Chang; S. Clark,d64dc949b8ceae642e8fcad7ccd29ee523116371,Natural language processing for information assurance and security: an overview and implementations,2001,M. Atallah; C. McDonough; V. Raskin; S. Nirenburg
26,W06-3813,External_15779,[2],experiments,"We work with a semitechnical text on meteorological phenomena <TARGET_CITATION/> , meant for primary school students ."," We work with a semitechnical text on meteorological phenomena <TARGET_CITATION/> , meant for primary school students . We work with a semitechnical text on meteorological phenomena <CITATION/>, meant for primary school students.",f20ef3f9f3b5a42699d7da9fb273017b65e8bb28,Matching syntactic-semantic graphs for semantic relation assignment,2006,Vivi Nastase; Stan Szpakowicz,32141024037e4cfb5bd47ef1016b80e3ac59677b,Junior science book of icebergs and glaciers,1961,P. Lauber
28,D08-1034,N04-1032,[2],,The candidate feature templates include : Voice from <TARGET_CITATION/> .,"First, we built a pool of feature templates which has proven to be useful on the SRC. Most of the feature templates are standard, so only the new ones will be explained. The candidate feature templates include : Voice from <TARGET_CITATION/> . The candidate feature templates include: Voice from <CITATION/>. Most of the feature templates are standard, so only the new ones will be explained. First, we built a pool of feature templates which has proven to be useful on the SRC.",74cc22ca9eeee2997b0ecf2883b57d1a81842299,Improving Chinese Semantic Role Classification with Hierarchical Feature Selection Strategy,2008,Weiwei Ding; Baobao Chang,df87a18357f3c462fc21df0ce9f60160714fd1e3,Shallow Semantic Parsing of Chinese,2004,H. Sun; Dan Jurafsky
29,P97-1063,External_6772,[0],introduction,"Over the past decade , researchers at IBM have developed a series of increasingly sophisticated statistical models for machine translation <TARGET_CITATION/> ."," Over the past decade , researchers at IBM have developed a series of increasingly sophisticated statistical models for machine translation <TARGET_CITATION/> . Over the past decade, researchers at IBM have developed a series of increasingly sophisticated statistical models for machine translation <CITATION/>.",b66fc3bbba9027fd1f0ebf6d1c5c849ef15ca695,A Word-to-Word Model of Translational Equivalence,1997,I. D. Melamed,,the mathematics of statistical machine translation parameter estimationquot,1993,P F Brown; V J Della Pietra; S A Della Pietra; R L Mercer
31,D08-1034,External_1123,[2],,The Chinese PropBank has labeled the predicateargument structures of sentences from the Chinese TreeBank <TARGET_CITATION/> ., The Chinese PropBank has labeled the predicateargument structures of sentences from the Chinese TreeBank <TARGET_CITATION/> . The Chinese PropBank has labeled the predicateargument structures of sentences from the Chinese TreeBank <CITATION/>.,74cc22ca9eeee2997b0ecf2883b57d1a81842299,Improving Chinese Semantic Role Classification with Hierarchical Feature Selection Strategy,2008,Weiwei Ding; Baobao Chang,2c72257ae7a4a32dc60569f4e1fe4504b2678112,The Penn Chinese TreeBank: Phrase structure annotation of a large corpus,2005,Nianwen Xue; Fei Xia; Fu-Dong Chiou; Martha Palmer
32,W06-1104,External_61155,[0],related work,"Furthermore , manually selected word pairs are often biased towards highly related pairs <TARGET_CITATION/> , because human annotators tend to select only highly related pairs connected by relations they are aware of .","Previous studies only included general terms as opposed to domainspecific vocabularies and therefore failed to produce datasets that can be used to evaluate the ability of a measure to cope with domainspecific or technical terms. This is an important property if semantic relatedness is used in information retrieval where users tend to use specific search terms (Porsche) rather than general ones (car). Furthermore , manually selected word pairs are often biased towards highly related pairs <TARGET_CITATION/> , because human annotators tend to select only highly related pairs connected by relations they are aware of . Furthermore, manually selected word pairs are often biased towards highly related pairs <CITATION/>, because human annotators tend to select only highly related pairs connected by relations they are aware of. This is an important property if semantic relatedness is used in information retrieval where users tend to use specific search terms (Porsche) rather than general ones (car). Previous studies only included general terms as opposed to domainspecific vocabularies and therefore failed to produce datasets that can be used to evaluate the ability of a measure to cope with domainspecific or technical terms.",e69b28380b4efc695a60054f85e8c46a9731c35b,Automatically Creating Datasets for Measures of Semantic Relatedness,2006,Torsten Zesch; Iryna Gurevych,3b5b95038c6b065f29649c1b11ea3e7855c00a53,Thinking beyond the nouns - computing semantic relatedness across parts of speech,2006,Iryna Gurevych
33,W00-1017,P91-1040,[2],,Disjunctive feature descriptions are also possible ; WIT incorporates an efficient method for handling disjunctions <TARGET_CITATION/> .,ISSS also makes it possible for the language generation module to respond in real time because it can output a partial result of understanding at any point in time. The domaindependent knowledge used in this module consists of a unificationbased lexicon and phrase structure rules. Disjunctive feature descriptions are also possible ; WIT incorporates an efficient method for handling disjunctions <TARGET_CITATION/> . Disjunctive feature descriptions are also possible; WIT incorporates an efficient method for handling disjunctions <CITATION/>. The domaindependent knowledge used in this module consists of a unificationbased lexicon and phrase structure rules. ISSS also makes it possible for the language generation module to respond in real time because it can output a partial result of understanding at any point in time.,143c89043402241b9db0d37b79632823f2fa70ee,WIT: A Toolkit for Building Robust and Real-Time Spoken Dialogu Systems,2000,Mikio Nakano; Noboru Miyazaki; Norihito Yasuda; Akira Sugiyama; Jun-ichi Hirasawa; Kohji Dohsaka; K. Aikawa,8412d17cca783d67c6eac3ef84429a76b92cfe84,Constraint Projection: An Efficient Treatment of Disjunctive Feature Descriptions,1991,Mikio Nakano
34,K15-1003,N07-1018,[2],,Our strategy is based on the approach presented by <TARGET_CITATION/> .,"We wish to infer the distribution over CCG parses, given the model we just described and a corpus of sentences. Since there is no way to analytically compute these modes, we resort to Gibbs sampling to find an approximate solution. Our strategy is based on the approach presented by <TARGET_CITATION/> . Our strategy is based on the approach presented by <CITATION/>. Since there is no way to analytically compute these modes, we resort to Gibbs sampling to find an approximate solution. We wish to infer the distribution over CCG parses, given the model we just described and a corpus of sentences.",39fbaac080f0f8dce2c41667a35cdefcaa733405,A Supertag-Context Model for Weakly-Supervised CCG Parser Learning,2015,Dan Garrette; Chris Dyer; Jason Baldridge; Noah A. Smith,ece4a51f9d1fab08230a527efbb801c57e0249c5,Bayesian Inference for PCFGs via Markov Chain Monte Carlo,2007,Mark Johnson; T. Griffiths; S. Goldwater
35,W04-1805,External_8695,[0],method,"Indeed , contrary to the more classical statistical methods ( Mutual Information , Loglike ... , see below ) used for collocation acquisition ( see <TARGET_CITATION/> for a review ) , these patterns allow :","The background knowledge encodes information about each word occurring in the example or counterexample, namely the meaning of its tag (e.g., adjective in plural form, infinitive verb). The main benefits of this acquisition technique lie in the inferred patterns. Indeed , contrary to the more classical statistical methods ( Mutual Information , Loglike ... , see below ) used for collocation acquisition ( see <TARGET_CITATION/> for a review ) , these patterns allow : Indeed, contrary to the more classical statistical methods (Mutual Information, Loglike..., see below) used for collocation acquisition (see <CITATION/> for a review), these patterns allow:The main benefits of this acquisition technique lie in the inferred patterns. The background knowledge encodes information about each word occurring in the example or counterexample, namely the meaning of its tag (e.g., adjective in plural form, infinitive verb).",f0f0f7a282f76327e2d1b943b0053c9099e67a25,Discovering Specific Semantic Relationships between Nouns and Verbs in a Specialized French Corpus,2004,V. Claveau; Marie-Claude LHomme,2f0b726dcf4766331a656f9a029fd9bd7df97173,A Comparative Evaluation of Collocation Extraction Techniques,2002,Darren Pearce
