CC,label
in using cards to design banking technologies for and with people with limited familiarity with the topic. Chow et al. (2016)  applied cards to create innovative ways to teach mathematics; #AUTHOR_TAG  and Arrasvuori (2013)  to support the design for playfulness; both Golembewski and Selby (2010)  and Roubira (2008)  used cards as an inspiration tool to define and explore preliminary design ideas; and Halskov and D,0
"<s> Everyday sexism rests on the concept that sexism is either faced or reproduced on a daily basis but is rarely noticed (Barreto et al., 2009;#AUTHOR_TAG and Swim, 2011) . Identifying everyday sexism and its different forms, empathising with other people's experiences, and reflecting on them are seen as possible ways to contribute to gender equality (Becker and Swim, 2011;Zawadzki et al., 2013) . More particularly, using everyday experiences to reflect on them is an important stepping stone in the history of feminism (Freedman, 2014;Sarachild, 1968) .</s>",5
"to them. For supporting the design of cards, #AUTHOR_TAG  and Greenbaum (2012)  proposed some participatory design principles for transcribing diversified experiences and knowledge to the cards.</s>",4
"people not necessary aware of it', was difficult and that they were not satisfied with their results. Following the process of reflection presented by #AUTHOR_TAG  (1996), in the new version the first word of 4 questions were added as a visual prompt. The instruction was then, for",0
"were also asked to read, individually, 8 written lived experiences related to the same category of everyday sexism and select the 3 most representative ones in groups. The lived experiences were extracted from a website called everydaysexism.com where people shared their experiences on everyday sexism (#AUTHOR_TAG  et al., 2017). Reflective questions aimed at triggering reflection by future card users who would not necessarily be aware on the issues. This exercise was supported by a template in an A3 paper that guided participants towards completing the tasks, and also invited them to add any sort of suggestion. After this exercise, each group had 10 minutes to provide feedback on the information generated by another group. The",0
"Illustrations are arguably a source of inspiration and an important element in the aesthetics of cards (Lucero and Arrasvuori, 2013;Wetzel et al., 2016) . A study compared PLEX Cards, which contain a definition and an informative illustration; and DIXIT Cards, which represent abstract illustrations, and found similar results in terms of numbers of ideas generated (#AUTHOR_TAG  et al., 2014). However, both Chow et al. (2016)  and ",1
"that sexism is either faced or reproduced on a daily basis but is rarely noticed (Barreto et al., 2009;Becker and Swim, 2011) . Identifying everyday sexism and its different forms, empathising with other people's experiences, and reflecting on them are seen as possible ways to contribute to gender equality (Becker and Swim, 2011;#AUTHOR_TAG  et al., 2013). More particularly, using everyday experiences to reflect on them is an important stepping stone in the history of feminism (Freedman, 2014;Sarachild, 1968) .</s>",0
"skills, still have to be defined (Carvalho et al., 2015; DeSmet et al., 2016) . Most of the participatory models to design educational games are founded on educational theories and game design (see for example: Amory, 2007; #AUTHOR_TAG  et al., 2015). Some more recent models, though, have also included domain experts to define the learning content of the educational game (De Jans et al., 2017) . In",4
"Applying co-design to educational games has the potential to generate more effective educational outcomes. Yet, it represents a challenge as best practices to co-design such games, which require technical, conceptual and educational skills, still have to be defined (Carvalho et al., 2015;#AUTHOR_TAG  et al., 2016). Most of the participatory models to design educational games are founded on educational theories and game design (see for example: Amory, 2007; Arnab et al., 2015)",0
"participatory models to design educational games are founded on educational theories and game design (see for example: Amory, 2007; Arnab et al., 2015) . Some more recent models, though, have also included domain experts to define the learning content of the educational game (#AUTHOR_TAG  et al., 2017). In scenarios where the co-designers are not equally experienced with the educational game domain or with the design process, tools to facilitate the design and maximize educational outcomes may be required",4
"Applying co-design to educational games has the potential to generate more effective educational outcomes. Yet, it represents a challenge as best practices to co-design such games, which require technical, conceptual and educational skills, still have to be defined ( #AUTHOR_TAG  et al., 2015;DeSmet et al., 2016) . Most of the participatory models to design educational games are founded on educational theories and game design (see for example: ",1
"Everyday sexism rests on the concept that sexism is either faced or reproduced on a daily basis but is rarely noticed (#AUTHOR_TAG  et al., 2009;Becker and Swim, 2011) . Identifying everyday sexism and its different forms, empathising with other people's experiences, and reflecting on them are seen as possible ways to contribute to gender equality (Becker and Swim, 2011;Zawadzki et al., 2013) . More",4
"of the strongest correlations, higher than previously shown. In a related study, Mryglod et al. #AUTHOR_TAG  used departmental h-index aggregation to predict REF rankings. Their work was completed before December 2014 when the REF results were published and contained ranking predictions based on their model with some degree of success. They also experimented by normalising the h-index for each year between 2008 and 2014 but surprisingly found little evidence that timescale played a part in the strength of the correlations they found.",0
the PRFS in Norway and Australia are both used for research evaluation but are not used for funding distribution #AUTHOR_TAG . Pe,0
"Mingers #AUTHOR_TAG  recently completed an investigation that collected total citation counts from Google Scholar (GS) for the top 50 academics 1 from each UK institute and he found strong correlations with overall REF rankings. To our knowledge, ours is the first large-scale in-depth study that investigates the correlation between citation data and",1
"Several other studies have specifically investigated the correlation between the results of different nations' peer review focused Performance-based Research Funding Systems and bibliometric indicators. Anderson #AUTHOR_TAG  finds only weak to moderate correlation with results from the New Zealand PRFS and a range of traditional journal rankings. The highest correlation is r = 0.48 with the Thomson Reuters Journal Citation Report. However Anderson states that this may be due to the much broader scope of research considered by PRFS processes and the additional quality-related information available to panels. Contrary to Anderson, Smith",0
". Contrary to Anderson, Smith #AUTHOR_TAG  used citations from Google Scholar (GS) and correlated these against the results from the New Zealand PRFS in 2008. He found strong correlation, r = 0.85 for overall PRFS results against Google Scholar citation count.</s>",0
approximately �1.6 billion in QR funding from central government is distributed annually entirely on the basis of the REF results #AUTHOR_TAG .</s>,0
"found. An ad hoc study by Bishop #AUTHOR_TAG  also found a moderate to strong correlation between departmental research funding based on the results of the UK's Research Assessment and Evaluation (RAE) exercise conducted in 2008, and departmental h-index.",1
"than 10 times slower than using MAG. Additionally, studies by #AUTHOR_TAG  and [12] have recently confirmed how comprehensive the MAG citation data are. We could not",0
"It has been shown in [4], #AUTHOR_TAG  and that many bibliometric indicators show little correlation with peer review judgments at the article level. This study, and those by [7], [2] and [3], demonstrate that some bibliometric measures can offer a surprisingly high degree of accuracy when used at the institutional or departmental level. Our work has been conducted on a significantly larger dataset and our prediction accuracy is higher than shown in previous studies, despite deliberately using fairly simplistic indicators.",0
"should be used as an additional component in research evaluation, with peer review remaining as the central pillar. Yet, peer review has been shown by #AUTHOR_TAG , [17] and [18] amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdisciplinary research. In an examination of one of the most critical forms of bias, that of publication bias, Emerson [19",0
"remaining as the central pillar. Yet, peer review has been shown by [16], #AUTHOR_TAG  and [18] amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdisciplinary research. In an examination of one of the most critical forms of bias,",0
"remaining as the central pillar. Yet, peer review has been shown by [16], [17] and #AUTHOR_TAG  amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdisciplinary research. In an examination of one of the most critical forms of bias, that of publication bias,",0
"peer review has been shown by [16], [17] and [18] amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdisciplinary research. In an examination of one of the most critical forms of bias, that of publication bias, Emerson #AUTHOR_TAG  noted that reviewers were much more likely to recommend papers demonstrating positive results over those that demonstrated null or negative results. All of the above biases exist even when peer review is carried",1
"onerous in the extreme. Coles #AUTHOR_TAG  calculated a very similar figure of 2 papers per day, based on an estimate before the data we now have was available. 'It is blindingly obvious,' he concluded, 'that whatever the panels do will not be a thorough peer review of each paper,</s>",1
"than using MAG. Additionally, studies by [11] and #AUTHOR_TAG  have recently confirmed how comprehensive the MAG citation data are. We could not utilise",0
"The NACP was formally recognized by the United States in 2002 under the mantle of the nation's overall climate change management strategy (#AUTHOR_TAG , 2002). The first implementation plan for the NACP put forward a research agenda that was centered on quantifying and understanding carbon sinks and sources in North America and surrounding oceans, and the integration of such information into socially, economically, and politically relevant decision-",0
"North America is a net source of CO2 to the atmosphere, due to fossil-fuel emissions and that there are globally important carbon sinks whose future are highly uncertain (#AUTHOR_TAG  et al., 2007). Understanding how humans both experience and influence the carbon cycle and climate change is critical to the interests of decision makers ",0
"whose future are highly uncertain (King et al., 2007) . Understanding how humans both experience and influence the carbon cycle and climate change is critical to the interests of decision makers (Bernabo, 1995;#AUTHOR_TAG and Ingram, 2009) , such as those who confer support upon the member agencies of the NACP through funding and other resources.</s>",0
"Many studies have used the relationships between authors of a document to study broad domains such as physics (#AUTHOR_TAG , 2001a) and mathematics (Barab��si et al., 2002).",5
". If all the nodes in the neighborhood of a scientist-node are connected to other scientist-nodes of that neighborhood, then the clustering coefficient of that neighborhood will be 1; if none of the other nodes in the neighborhood are connected to each other then the clustering coefficient will be zero (#AUTHOR_TAG  et al., 2008). In other words, the clustering coefficient of a node that has at least one other node connected to it, is the probability that any two randomly chosen neighbors are connected. This probability is calculated by dividing the number of triangles containing our particular",5
". We tended to evaluate our graphs for information about average behavior of nodes as a whole, or at the network level of analysis. For example, modularity is the fraction of the connections within given groups minus the expected such fraction if connections were distributed at random (#AUTHOR_TAG , 2006). The modularity score given to the networks can be interpreted as describing how well a network, in our case the N",5
"More recently, studies have also employed narrower sampling approaches, such as only including data from a specific journal (Martin et al., 2013)  or based on attendance records of participation for the active members of a community of business (#AUTHOR_TAG  et al., 2008). Here we transform both our datasets into co-authorship network to represent interpersonal relationships present in the NACP. People are generally expected",5
"scientists. This corresponds to a lack of social pathways through which ideas can flow. But given enough connections, isolated groups may converge into a single mass, which encompasses the majority of nodes, and in which everyone is potentially connected to everyone else by some path (#AUTHOR_TAG , 2001b).</s>",5
"Although scientific research does not have a simple cause-andeffect relationship with improved societal outcomes, some research has led to reduced exposure to extreme events, improved forest management, and effective policies to ensure agricultural sustainability (#AUTHOR_TAG  et al., 2014). Rather, science is one among many complex factors that influence improved societal outcomes ",0
"However, simply writing papers on relevant topics and forming a tighter research network are not sufficient to produce policy-relevant research. The process of connecting science and decision makers must be undertaken. It is not clear from our analysis that such work is being done yet in the NACP (Dilling and Lemos, 2011;#AUTHOR_TAG  et al., 2002). Previous research has shown that just because research is policy relevant, does not mean that policy makers will use it (Cash et al., 2006) . Science has to be done in a",0
". These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (Berthelot et al., 2002;Bradbear and Friel, 2013;Dempewolf et al., 2014;#AUTHOR_TAG  et al., ",0
"change may evolve over the coming decades requires significant investment in research about carbon and how it cycles, through both living and nonliving states, (#AUTHOR_TAG , 1996). Scientists frequently study these bi",0
"Our research has similar findings to other studies that investigate how to cultivate collaboration in a community of scientists. For example, one study explored the introduction of scientists who were previously unacquainted and from different research backgrounds using brief meetings during a conference (#AUTHOR_TAG  et al., 2014). According to the study, many scientist reported positive experiences and potential new collaborations as a result of participation. The N",3
"We conducted a network analysis on both the NACP database and the bibliographic data, and present network graphs resulting from the analysis. Network analysis is a research approach that prioritizes relationships between social units as opposed to focusing on attributes of the individual units themselves (#AUTHOR_TAG and Faust, 1994) . Here we report on co-authorship networks that describe relationships between people rather than ideas. A document ""is co-authored if it has more than",5
"we report on co-authorship networks that describe relationships between people rather than ideas. A document ""is co-authored if it has more than one author. It is institutionally co-authored if it has more than one author address, suggesting that the authors come from various institutions, departments, or other kinds of units"" (#AUTHOR_TAG and Persson, 1996) .</s>",5
"<s> Although the community of practice framework tends to emphasize the role of interpersonal relationships between individuals, other studies have focused more on understanding the role of cross-institutional collaboration in knowledge creation. For example, previous studies have found that cross-institutional collaboration supports the diffusion of innovations and new ideas within a field (#AUTHOR_TAG and Darby, 1996) . Institutionally co-authored papers have also been found to be more highly cited than papers authored within a single institution.</s>",5
". These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (Berthelot et al., 2002;Bradbear and Friel, 2013;#AUTHOR_TAG  et al., ",0
". These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (#AUTHOR_TAG  et al., 2002;",0
"whose future are highly uncertain (King et al., 2007) . Understanding how humans both experience and influence the carbon cycle and climate change is critical to the interests of decision makers (#AUTHOR_TAG , 1995;Feldman and Ingram, 2009) , such as those who confer support upon the member agencies of the NACP through funding and other resources.</s>",0
"cycles in the context of subsystems such as the terrestrial biosphere (land-based living systems), oceanic systems (both organic and inorganic forms of carbon), and the atmosphere (#AUTHOR_TAG  et al., 2000). These investigations may also include the specific role humans play in the carbon cycle, such as the impact of",0
"ographic data can yield insight into the knowledge domains represented within the dataset (Chen, 2006) . Content analysis may be approached either inductively, in a purely exploratory context, or deductively when seeking to test known ideas or compare changes in content over time (#AUTHOR_TAG  and Kyng�_s, 2008).",5
"However, simply writing papers on relevant topics and forming a tighter research network are not sufficient to produce policy-relevant research. The process of connecting science and decision makers must be undertaken. It is not clear from our analysis that such work is being done yet in the NACP (#AUTHOR_TAG and Lemos, 2011;Lemos et al., 2002) . Previous research has shown that just because research is policy relevant, does not mean that policy makers will use it ",0
"U.S. Carbon Cycle Science Plan (Michalak et al., 2011) , the Science Implementation Strategy for the North American Carbon Program of 2005 (#AUTHOR_TAG , 2005), and similar supporting documents. The domain of the North American Carbon Program is to study the sources and sinks of carbon with the expectation that resulting knowledge should ultimately be accessible and salient to stakeholders at a variety of levels. Although",0
"Many studies have used the relationships between authors of a document to study broad domains such as physics (Newman, 2001 a) and mathematics (#AUTHOR_TAG  et al., 2002). More recently",5
"Scientometric mapping and analysis using bibliographic data is a well-established methodology, for which a variety of approaches, techniques, and automated tools have been developed (#AUTHOR_TAG  et al., 2011). Existing research has demonstrated that analysis of abstracts and titles in bibliographic data can yield insight into the knowledge domains represented within the",5
"which a variety of approaches, techniques, and automated tools have been developed (Cobo et al., 2011) . Existing research has demonstrated that analysis of abstracts and titles in bibliographic data can yield insight into the knowledge domains represented within the dataset (#AUTHOR_TAG , 2006). Content analysis may be approached either inductively, in a purely exploratory context, or deductively when seeking to test known ideas or compare changes in content over time (Elo and Kyng�_s, 2",5
"aken. It is not clear from our analysis that such work is being done yet in the NACP (Dilling and Lemos, 2011;Lemos et al., 2002) . Previous research has shown that just because research is policy relevant, does not mean that policy makers will use it (#AUTHOR_TAG  et al., 2006). Science has to be done in a way that directly engages stakeholders and involves them in setting the research agenda, working with them iteratively over long periods of time to ensure that the research can be more usable in the end. The NACP abstract",0
"(Falkowski et al., 2000) . These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (Berthelot et al., 2002;#AUTHOR_TAG and Friel, 2013;Dempewolf et al., 2014;Shindell et al., 2012) . Carbon",0
"America and adjacent oceans, and to chart a course for improved integration across scientific disciplines, scales, and Earth system boundaries (#AUTHOR_TAG  et al., 2007). Following this meeting, a 2011 US Carbon Cycle Science Plan was published that set forth priorities for research in carbon cycle science for the coming decade *Manuscript ",0
"Survival rates of patients with pancreatic cancer have improved only marginally during the last 30 years with a 5-year survival rate of only 6 % #AUTHOR_TAG . In contrast, the prognosis of patients with rectal car",0
otherapy [34]. The patients in this trial were treated with 3D-conformal plans which have recently been shown to be equally effective and not significantly more toxic as IMRT plans in the neoadjuvant setting #AUTHOR_TAG .</s>,1
"otherapy [24,25]. Perioperative complications were graded by Dindo's classification #AUTHOR_TAG .</s>",5
"<s> Acute toxicity and adverse effects were reported using the NCI common toxicity criteria v2.0 and RTOG/EORTC recommendations for classifying late toxic effects of radiotherapy [#AUTHOR_TAG ,25]. Perioperative complications were graded by Dindo's classification [26].</s>",5
Resection specimens were graded and classified according to the sixth UICC TNM system #AUTHOR_TAG . Assessment of response to neoadjuvant,5
"50.4 Gy [regional lymph nodes, planning target volume (PTV ___ 800 ml)] #AUTHOR_TAG . D",5
", consequent supportive therapy may explain the improved tolerability of treatment in this trial compared to others avoiding loss of weight which was described to be a negative prognostic factor after neoadjuvant chemoradiotherapy #AUTHOR_TAG . The patients in this trial were treated with 3D-conformal plans which have recently been shown to be equally effective and not significantly more toxic as IMRT plans in the neoadjuvant setting [35].",5
"but was the most frequent reason for severe adverse events. Hematologic toxicity of gemcitabine-based CRT is directly related to radiotherapy volume and, therefore, volumes were strictly limited #AUTHOR_TAG [32][33].",5
"section rates after neoadjuvant treatment are expected to have an impact on survival [17,#AUTHOR_TAG ,[28][29][30].</s>",1
"Therefore, higher R0 resection rates after neoadjuvant treatment are expected to have an impact on survival [#AUTHOR_TAG ,18,[28][29][30].</s>",1
same timeframe [2]. This progress was due to standardizing surgical therapy [3] worldwide and by the implementation of multimodal therapy #AUTHOR_TAG [5][6]. Moreover,1
oma has improved substantially during the same timeframe [2]. This progress was due to standardizing surgical therapy #AUTHOR_TAG  worldwide and by the implementation of multimodal therapy [4][5][6].,1
"The closest possible comparison of this trial is with adjuvant treatment, especially with the CONKO-001 trial conducted in the same population and with an observation arm [#AUTHOR_TAG ,27]. However, the fundamental difference between the reported trial here and adjuvant treatment is that the latter only includes patients after resection and pathological staging, whereas in this study 24 of 68 patients (35 %) had reasons preventing curative resection despite the suggested resectability at staging. Median overall survival in the CONKO-001 trial was 20.2 and 2",1
"Novikov et al., 1997; Linkenkaer-Hansen et al., 2001;Gong et al., 2002;Freeman et al., 2003; Stam and de Bruin, 2004;#AUTHOR_TAG  et al., 2007;van de Ville et al., 2010;Freyer et al., 2012) . For _� ___ 1, the correlation time __ C and the corresponding correlation length __ diverge.",0
"iz. Mittag-Leffler (#AUTHOR_TAG  et al., 2007a) scaling, with stretched exponential relaxation ___ exp __�(t/__) _� at microscopic scales (t < __), and asymptotical convergence to an inverse power law Novikov et al., 1997; Linken",0
"(Sornette, 2004) . The break-down of scale invariance (Ciuciu et al., 2011 (Ciuciu et al., , 2012#AUTHOR_TAG  et al., 2012) is tantamount to velocity changes.</s>",0
"atial extension introduces not only dynamical heterogeneity, i.e., a spatial distribution of time scales, but also time scales emerging from cooperative or competitive phenomena, which typically display regimes and unfold at scales different from those of spatially local components (#AUTHOR_TAG  et al., 2007b;Allegrini et al., 2011) . Space-induced time scales",0
"a general relationship between the (equilibrium) internal autocorrelation C(t) of fluctuations of some observable of the system in the absence of the disturbance and the (non-equilibrium) response R(t) of a system to small external perturbations (Kubo, 1966) . Suitably modified versions of the FDT also hold for out-of-equilibrium systems (Cugliandolo et al., 1997;#AUTHOR_TAG and Ritort, 2003;Pottier and Mauger, 2004;Allegrini et al., 2007;Aquino et al., 2007) .</s>",0
"is a continuous symmetry linking a translation in time to a translation in space, brain activity can be seen as stemming from a system moving at constant velocity, given by the scaling exponent (Sornette, 2004) . The break-down of scale invariance (#AUTHOR_TAG  et al., 2011(Ciuciu et al., , 2012Zilber et al., 2012)  is tantamount to velocity changes.</s>",0
"ipation theorem (FDT), which establishes a general relationship between the (equilibrium) internal autocorrelation C(t) of fluctuations of some observable of the system in the absence of the disturbance and the (non-equilibrium) response R(t) of a system to small external perturbations (#AUTHOR_TAG , 1966). Suitably modified versions of the FDT also hold for out-of-equilibrium systems (Cugliandolo et al., 1997;Crisanti and Ritort, 2003;Pottier and Mauger, 2004;Allegrini et al., 2007;Aquino et al., 2007) .",0
"Novikov et al., 1997; Linkenkaer-Hansen et al., 2001;Gong et al., 2002;Freeman et al., 2003; Stam and de Bruin, 2004;Buiatti et al., 2007; van de Ville et al., 2010;#AUTHOR_TAG  et al., 2012). For _� ___ 1, the correlation time __ C and the corresponding correlation length __ diverge. Note that correlation",0
"The research design was based on Patton's [25] description of qualitative process evaluation and guidelines for the evaluation of complex interventions #AUTHOR_TAG . The aim of the study was to get in-depth knowledge of patients' experience of health-related change, and empirical data was collected by means of",0
"]. The theory asserts that individuals with chronic illness have bodily knowledge that constitutes an important resource for coping and health, and that patient's bodily knowledge is developed through a dynamic, nonlinear process of learning and health-related change in interaction with the environment #AUTHOR_TAG . Theoretical inspiration for the intervention was also drawn from Antonovsky's [23] theory on health as a dynamic continuum and Merleau-Ponty's [24] phenomenological theory of the body as a foundation for knowledge and existence.</s>",5
] and the Vitality Training Program (VTP) developed by Steen and Haugli #AUTHOR_TAG  in Norway. Research findings showed that the lay-led CDSME program resulted in improved health status and reduced health care costs among patients suffering from arthritis [12] [13]. Improved health behavior and health status were,5
ical inspiration for the intervention was also drawn from Antonovsky's [23] theory on health as a dynamic continuum and Merleau-Ponty's #AUTHOR_TAG  phenomenological theory of the body as a foundation for knowledge and existence.</s>,5
Theoretical inspiration for the intervention was also drawn from Antonovsky's #AUTHOR_TAG  theory on health as a dynamic continuum and Merleau-Ponty's [24] phenomenological theory of the body as a foundation for knowledge and existence.</s>,5
"With the prevalence of chronic illness rising worldwide, there is a need to engage patients in health promotion work in order to prevent further deterioration, to strengthen their health and their capacity to participate in society #AUTHOR_TAG  [2]. Interventions based on such work will reflect the philosophical perspective of ""health within illness"", which holds that individuals living with long-term health problems are capable of experiencing health and wellbeing despite their conditions [3] [4]. Summaries of research concerning people with various long-term conditions show that they have much in common as they face the challenges of trying to live as well as possible within the context of physical, mental, or social discomfort and limitation [5",0
"The intervention was based on Bodyknowledging theory [20] #AUTHOR_TAG . The theory asserts that individuals with chronic illness have bodily knowledge that constitutes an important resource for coping and health, and that patient",0
"The intervention was based on Bodyknowledging theory #AUTHOR_TAG  [21]. The theory asserts that individuals with chronic illness have bodily knowledge that constitutes an important resource for coping and health, and that patient",0
"However, a longitudinal randomized trial of stroke survivors who accomplished CDSME, showed that the intervention did not appear to impact self-efficacy and failed to influence outcomes such as mood or social outcomes #AUTHOR_TAG . This was also confirmed in a Cochrane review that focused on the outcomes of CDSME [16].</s>",1
the Vitality Training Program (VTP) developed by Steen and Haugli [11] in Norway. Research findings showed that the lay-led CDSME program resulted in improved health status and reduced health care costs among patients suffering from arthritis #AUTHOR_TAG  [13]. Improved health behavior and health status were also reported in a,0
that the intervention did not appear to impact self-efficacy and failed to influence outcomes such as mood or social outcomes [15]. This was also confirmed in a Cochrane review that focused on the outcomes of CDSME #AUTHOR_TAG .</s>,0
Two of the few examples of interventions that are practiced more broadly are the Chronic Disease Self-Management Education (CDSME) developed by Lorig and colleagues in the USA #AUTHOR_TAG  and the Vitality Training Program (VTP) developed by Steen and Haugli [11] in Norway. Research findings showed that the lay-led CDSME program resulted in improved health status and reduced health care costs among patients suffering from arthritis [12] [13].,0
"have much in common as they face the challenges of trying to live as well as possible within the context of physical, mental, or social discomfort and limitation [5]- [7]. However, patient education and wellness-interventions in the context of chronic illness are often specific to particular diagnostic groups and not designed to be applied across diagnostic categories #AUTHOR_TAG  [9]. Two of the few examples of interventions that are practiced more broadly are the Ch",0
"]. Summaries of research concerning people with various long-term conditions show that they have much in common as they face the challenges of trying to live as well as possible within the context of physical, mental, or social discomfort and limitation [5]- #AUTHOR_TAG . However, patient education and wellness-interventions in the context of chronic illness are often specific to particular diagnostic groups and not designed to be applied across diagnostic categories [8",0
"to strengthen their health and their capacity to participate in society [1] [2]. Interventions based on such work will reflect the philosophical perspective of ""health within illness"", which holds that individuals living with long-term health problems are capable of experiencing health and wellbeing despite their conditions [3] #AUTHOR_TAG . Summaries of research concerning people with various long-term conditions show that they have much in common as they face the challenges of trying to live as well as possible within the context of physical, mental, or social discomfort and limitation [5]- [7]. However",0
"]. Summaries of research concerning people with various long-term conditions show that they have much in common as they face the challenges of trying to live as well as possible within the context of physical, mental, or social discomfort and limitation #AUTHOR_TAG - [7]. However, patient education and wellness-interventions in the context of chronic illness are often specific to particular diagnostic groups and not designed to be applied across diagnostic categories [",0
"22]. This approach is in keeping with Paulo Freire's #AUTHOR_TAG  ""pedagogy of the oppressed"" in which dialogue serves as the main method for helping people understand their situations and act in new ways by means of their own resources. The findings show that B",1
"ate with health care personnel and peers in health promotion work. This was in line with person-centered care, which implies that patients are viewed as competent and are actively involved in the planning and conducting of their own care #AUTHOR_TAG . Professional's competence in utilizing patient's experience and bodily knowledge of health and illness was essential in this regard [4]. However",1
"of the findings. Content analysis #AUTHOR_TAG  was used to study program processes in greater depth. This implied that each interview was read through several times to obtain a sense of the whole. Then, the parts of the text that described participants' experiences of health-related change were extracted. The text was then divided into meaning units that described the same content, abstracted into themes and subthemes and labeled with a code. Themes, subthemes, and codes were sorted, discussed, and studied again in order to develop more general themes that captured patients' experiences of health-related outcomes of engagement in the new program.</s>",5
